250 ;G 250-34                           ;PM*;148.5007211167605 +26.4245855140248;M1.5V                  ;   18.968 
251 ;G 250-31                           ;** ;153.627546837 +24.554284347        ;M6V+M5V                ;   12.4   
252 ;HD 48948                           ;PM*;155.5003056131342 +23.1639284705654;K3V                    ;   16.8369
253 ;G 250-29                           ;** ;155.0665509262251 +23.7844571077791;M3.0V                  ;   10.9157
254 ;StKM 1-598                         ;Er*;165.0152820507901 +17.3790532891375;M0.8V                  ;   20.586 
255 ;LP 160-22                          ;PM*;168.7227512960378 +14.5658137689260;M5.0V                  ;   20.430 
256 ;G 203-42                           ;PM*;078.4769074861840 +37.4825190503197;M5.0V                  ;    9.9081
257 ;V* DN Dra                          ;WD*;088.4516303691748 +38.6884545098673;DA4.0                  ;   10.9481
258 ;HD 147379                          ;PM*;099.9002813597228 +39.4701034604413;M1-Ve                  ;   10.767 
259 ;V* EW Dra                          ;BY*;099.9182318303097 +39.4587927909673;M3.0V                  ;   10.7644
260 ;LSPM J1437+7536S                   ;PM*;114.6548919241038 +39.7690354256766;~                      ;   17.821 
261 ;G 252-13                           ;PM*;141.2971642454483 +33.0824568408014;M4.0V                  ;   14.6597
262 ;EGGR 321                           ;WD*;152.2001146450431 +28.7643700901653;DA11P                  ;   19.974 
263 ;HD 154345                          ;PM*;073.0222664745835 +37.6634589476242;G9                     ;   18.2695
264 ;HD 153525                          ;BY*;073.3718775568144 +38.4976063280752;K3V                    ;   17.947 
265 ;HD 153557B                         ;PM*;073.3783838618540 +38.4654543752731;M1.5V                  ;   17.9303
266 ;V* CM Dra                          ;BY*;086.5655223396690 +40.9126382004603;M4.5V                  ;   14.8616
267 ;EGGR 258                           ;WD*;086.5734455672853 +40.9083867016836;DQ8                    ;   14.847 
268 ;G 254-29                           ;PM*;126.8472097362149 +37.9480684524301;M4.0V                  ;    5.2541
269 ;G 254-27                           ;PM*;127.9883810045216 +39.3515499497054;M2.0V                  ;   27.9518
270 ;BD+76 3952                         ;PM*;135.3872105310832 +36.2425000728480;M1.5V                  ;   15.7915
271 ;G 252-33                           ;PM*;139.5816333197627 +36.4140435233813;M5V                    ;   15.0514
272 ;G 252-25                           ;PM*;140.5842710643026 +35.0751692644758;M5V                    ;   14.3975
273 ;HD 75632B                          ;PM*;143.2105852915363 +35.5470093073945;M1V                    ;   11.587 
274 ;LP 35-347                          ;PM*;146.1117475777418 +33.5964979274095;M7V                    ;   12.2891
275 ;G 234-5                            ;PM*;153.5924355803545 +28.7913756060865;M0V                    ;   11.8064
276 ;2MASS J07171626+5705430            ;BD*;159.8162780838302 +25.9262988521583;L3                     ;   28.946 
277 ;G 193-27                           ;** ;164.0593547017345 +23.0858627625188;M5.0V                  ;    9.0231
278 ;HD 49601                           ;PM*;168.9060611567266 +19.6177366301879;K6V                    ;   18.6455
